Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	MSI level	Comment	Mannually modified	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	190715_Blk_KM1906U14-Blk_C	190715_Poo_TruePooFK180310_Full1	190715_Poo_TruePooFK180310_Full2	190715_Poo_TruePooFK180310_Full3
0	5.703	60.04518	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.58	190715_Poo_TruePooFK180310_Full3	60.04518:1167030 61.04853:426495 62.05189:3123042		44146	87104	100001	1167030
1	9.734	60.04518	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.2	190715_Poo_TruePooFK180310_Full3	60.04518:725537 61.04853:377151 62.05189:5559226		44248	75631	63758	725537
2	20.098	60.04518	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.15	190715_Poo_TruePooFK180310_Full3	60.04518:1579407 61.04853:487592 62.05189:1984809		159740	134636	202540	1579407
3	0.185	60.0452	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	9.99	190715_Poo_TruePooFK180310_Full3	60.0452:489248 61.04855:309261 62.05191:1197852		54959	244676	135219	489248
4	18.127	60.05643	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.32	190715_Poo_TruePooFK180310_Full3	60.05643:94305 61.05978:88860 62.06314:2482948		47998	32961	56905	94305
5	10.132	60.05815	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.07	190715_Blk_KM1906U14-Blk_C	60.05815:80906 61.0615:0 62.06486:1343981		80906	56635	67091	79387
6	9.329	60.05817	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	21.69	190715_Poo_TruePooFK180310_Full2	60.05817:276791 61.06152:45748 62.06488:324095		20011	274215	276791	312558
7	20.976	60.06446	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.23	190715_Poo_TruePooFK180310_Full1	60.06446:63789 61.06781:0 62.07117:1933134		28547	63789	23190	80445
8	11.253	60.06454	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1.67	190715_Poo_TruePooFK180310_Full2	60.06454:154941 61.06789:0 62.07125:1300347		128760	120448	154941	267688
9	0.223	60.06454	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.66	190715_Poo_TruePooFK180310_Full3	60.06454:80031 61.06789:0 62.07125:1086408		13282	35901	70363	80031
10	9.203	60.08153	w/o MS2:Ingalls_Trimethylamine	[M+H]+	similar chromatogram in higher mz_583; similar chromatogram in higher mz_3806; similar chromatogram in higher mz_1647; similar chromatogram in higher mz_3629; similar chromatogram in higher mz_3014; similar chromatogram in higher mz_567	0.75	FALSE	5.96	60.0815					3		FALSE	null	null	85.7	71.4	null	null	null	22.77	190715_Poo_TruePooFK180310_Full3	60.08153:92011 61.08488:0 62.08824:0		2510	67062	62449	92011
11	0.32	60.08158	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.93	190715_Poo_TruePooFK180310_Full2	60.08158:33317 61.08493:0 62.08829:0		18673	17024	33317	29122
12	6.935	61.01144	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	9.92	190715_Poo_TruePooFK180310_Full3	61.01144:23728 62.01479:12118 63.01815:8911		1978	16439	14122	23728
13	8.236	61.01148	Unknown	[M+H]+	similar chromatogram in higher mz_21	0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	21.22	190715_Poo_TruePooFK180310_Full3	61.01148:46560 62.01483:59287 63.01819:323120		0	36662	30671	46560
14	4.782	61.04039	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.18	190715_Poo_TruePooFK180310_Full1	61.04039:1025008 62.04374:0 63.0471:12602		742156	1025008	714910	504592
15	7.891	61.04042	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.4	190715_Poo_TruePooFK180310_Full2	61.04042:867597 62.04377:0 63.04713:8515		814544	849085	867597	564893
16	13.675	61.04044	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.08	190715_Poo_TruePooFK180310_Full3	61.04044:510865 62.04379:0 63.04715:0		788602	812296	633241	510865
17	12.923	61.04044	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.75	190715_Poo_TruePooFK180310_Full3	61.04044:517211 62.04379:10509 63.04715:17843		584503	744895	641720	517211
18	20.208	61.97458	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	15.57	190715_Poo_TruePooFK180310_Full2	61.97458:46794 62.97793:28577704 63.98129:0		40066	7145	46794	29060
19	21.261	61.97468	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	35.21	190715_Poo_TruePooFK180310_Full2	61.97468:67382 62.97803:50657816 63.98139:0		40252	49110	67382	40786
20	6.898	62.01931	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.34	190715_Poo_TruePooFK180310_Full1	62.01931:15075 63.02266:0 64.02602:32611		0	15075	14217	17318
21	8.202	62.0194	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	14.27	190715_Poo_TruePooFK180310_Full3	62.0194:49582 63.02275:323120 64.02611:105701		2059	42985	38768	49582
22	10.708	62.06073	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	12.31	190715_Blk_KM1906U14-Blk_C	62.06073:6884834 63.06408:250760 64.06744:28253		6884834	5587693	4287852	5357562
23	7.996	62.06074	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.18	190715_Blk_KM1906U14-Blk_C	62.06074:5292016 63.06409:167676 64.06745:13107		5292016	3356906	2364800	3057538
24	6.411	62.06075	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1.47	190715_Blk_KM1906U14-Blk_C	62.06075:5251072 63.0641:152299 64.06746:0		5251072	3888515	2658274	3568209
25	2.213	62.06078	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.05	190715_Poo_TruePooFK180310_Full1	62.06078:4177745 63.06413:135635 64.06749:0		5006563	4177745	2337979	2772294
26	11.995	62.06078	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7.03	190715_Poo_TruePooFK180310_Full1	62.06078:4352350 63.06413:143738 64.06749:0		4757686	4352350	3629555	4786743
27	13.901	62.06078	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.51	190715_Poo_TruePooFK180310_Full1	62.06078:3099347 63.06413:127258 64.06749:0		4243632	3099347	2406432	3000447
28	0.23	62.06079	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.61	190715_Poo_TruePooFK180310_Full2	62.06079:1123283 63.06414:0 64.0675:0		3090645	1898135	1123283	1669568
29	21.328	62.06081	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.88	190715_Poo_TruePooFK180310_Full1	62.06081:1339758 63.06416:0 64.06752:0		1296054	1339758	517685	689504
30	5.597	62.06081	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1.16	190715_Poo_TruePooFK180310_Full3	62.06081:3290179 63.06416:55676 64.06752:0		4311568	3987497	2454859	3290179
31	12.814	62.06081	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	13.54	190715_Poo_TruePooFK180310_Full2	62.06081:3626476 63.06416:123478 64.06752:0		4800263	4233046	3626476	4713658
32	9.862	62.06082	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	17.13	190715_Poo_TruePooFK180310_Full3	62.06082:6114334 63.06417:203500 64.06753:27874		1661926	5123848	4636174	6114334
33	7.085	62.06083	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1.99	190715_Poo_TruePooFK180310_Full3	62.06083:4313392 63.06418:195881 64.06754:0		4973356	4264704	3090388	4313392
34	6.562	62.0729	Unknown	[M+H]+	similar chromatogram in higher mz_1249	0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	965.62	190715_Blk_KM1906U14-Blk_C	62.0729:51796 63.07625:9935 64.07961:14512		51796	0	1625	6671
35	5.779	62.07305	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	44.12	190715_Poo_TruePooFK180310_Full3	62.07305:72825 63.0764:0 64.07976:0		1677	53530	37538	72825
36	20.514	62.98243	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	191.12	190715_Blk_KM1906U14-Blk_C	62.98243:49805076 63.98578:0 64.98914:0		49805076	29195992	34424316	29784958
37	21.158	62.98245	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	37.27	190715_Poo_TruePooFK180310_Full2	62.98245:49242808 63.9858:0 64.98916:0		32004164	34920468	49242808	46090116
38	0.167	62.98245	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	111.16	190715_Poo_TruePooFK180310_Full2	62.98245:16033400 63.9858:0 64.98916:0		134636	2091520	16033400	14812532
39	21.442	62.98247	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	846.32	190715_Poo_TruePooFK180310_Full2	62.98247:51981476 63.98582:0 64.98918:124529		23797778	44201248	51981476	48756684
40	5.28	62.98248	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.9	190715_Poo_TruePooFK180310_Full2	62.98248:2318782 63.98583:0 64.98919:0		29659	36774	2318782	749014
41	7.234	62.98248	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.05	190715_Poo_TruePooFK180310_Full2	62.98248:1076558 63.98583:0 64.98919:0		14516	8067	1076558	200741
42	4.896	62.98248	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.94	190715_Poo_TruePooFK180310_Full2	62.98248:2449784 63.98583:0 64.98919:0		28737	40076	2449784	820550
43	6.656	62.9825	Unknown	[M+H]+	similar chromatogram in higher mz_691; similar chromatogram in higher mz_889; similar chromatogram in higher mz_956; similar chromatogram in higher mz_999; similar chromatogram in higher mz_2147; similar chromatogram in higher mz_2837; similar chromatogram in higher mz_3331; similar chromatogram in higher mz_4137; similar chromatogram in higher mz_4323; similar chromatogram in higher mz_3359; similar chromatogram in higher mz_1613; similar chromatogram in higher mz_262	0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6	190715_Poo_TruePooFK180310_Full2	62.9825:2159739 63.98585:0 64.98921:0		22653	26473	2159739	511197
44	18.143	62.98252	Unknown	[M+H]+	similar chromatogram in higher mz_1147; similar chromatogram in higher mz_265; similar chromatogram in higher mz_893; similar chromatogram in higher mz_96; similar chromatogram in higher mz_120; similar chromatogram in higher mz_230; similar chromatogram in higher mz_249; similar chromatogram in higher mz_294; similar chromatogram in higher mz_394; similar chromatogram in higher mz_416; similar chromatogram in higher mz_481; similar chromatogram in higher mz_490; similar chromatogram in higher mz_519; similar chromatogram in higher mz_550; similar chromatogram in higher mz_565; similar chromatogram in higher mz_683; similar chromatogram in higher mz_707; similar chromatogram in higher mz_722; similar chromatogram in higher mz_740; similar chromatogram in higher mz_770; similar chromatogram in higher mz_951; similar chromatogram in higher mz_1065; similar chromatogram in higher mz_1076; similar chromatogram in higher mz_1089; similar chromatogram in higher mz_1103; similar chromatogram in higher mz_1116; similar chromatogram in higher mz_1172; similar chromatogram in higher mz_1197; similar chromatogram in higher mz_1440; similar chromatogram in higher mz_1609; similar chromatogram in higher mz_1762; similar chromatogram in higher mz_1831; similar chromatogram in higher mz_1878; similar chromatogram in higher mz_1983; similar chromatogram in higher mz_2135; similar chromatogram in higher mz_2159; similar chromatogram in higher mz_2235; similar chromatogram in higher mz_2482; similar chromatogram in higher mz_2560; similar chromatogram in higher mz_3511	0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.36	190715_Poo_TruePooFK180310_Full3	62.98252:480010 63.98587:0 64.98923:0		27341	13557	35218	480010
45	1.936	62.98252	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	11.35	190715_Poo_TruePooFK180310_Full3	62.98252:2673746 63.98587:0 64.98923:0		44359	77951	4976188	2673746
46	2.688	62.98254	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1.2	190715_Poo_TruePooFK180310_Full3	62.98254:1975766 63.98589:0 64.98925:0		39020	55377	3719116	1975766
47	8.212	63.02706	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	136.44	190715_Poo_TruePooFK180310_Full3	63.02706:348880 64.03041:0 65.03377:20211		0	270794	241094	348880
48	20.616	63.06411	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.68	190715_Poo_TruePooFK180310_Full1	63.06411:56191 64.06746:0 65.07082:0		17053	56191	30421	36264
49	9.949	63.06413	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.65	190715_Poo_TruePooFK180310_Full3	63.06413:179389 64.06748:25634 65.07084:0		20097	161525	130067	179389
50	10.497	63.06419	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1.02	190715_Poo_TruePooFK180310_Full2	63.06419:116302 64.06754:11313 65.0709:0		153786	154395	116302	148268
51	20.396	64.01646	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	623.39	190715_Blk_KM1906U14-Blk_C	64.01646:5407257 65.01981:223477 66.02317:0		5407257	96794	4417652	6407066
52	0.245	64.01649	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	41.41	190715_Poo_TruePooFK180310_Full2	64.01649:2418797 65.01984:38056 66.0232:0		20978	78931	2418797	2146335
53	21.408	64.01655	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	606.42	190715_Poo_TruePooFK180310_Full3	64.01655:22454300 65.0199:616654 66.02326:0		1278412	6822461	12081572	22454300
54	14.145	64.01655	Unknown	[M+H]+	similar chromatogram in higher mz_894	0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.05	190715_Poo_TruePooFK180310_Full2	64.01655:118439 65.0199:28105 66.02326:0		24779	31463	118439	135147
55	21.452	65.01984	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	60.11	190715_Poo_TruePooFK180310_Full2	65.01984:351433 66.02319:0 67.02655:0		12551	198293	351433	538307
56	5.964	65.02678	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.55	190715_Poo_TruePooFK180310_Full2	65.02678:14935 66.03013:23463 67.03349:37187		11722	8606	14935	12306
57	0.141	66.03459	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	9.12	190715_Poo_TruePooFK180310_Full3	66.03459:43800 67.03794:57640 68.0413:131292		46229	26603	23443	43800
58	21.544	67.02982	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	28.28	190715_Poo_TruePooFK180310_Full2	67.02982:151593 68.03317:17066 69.03653:38409		26213	104679	151593	246903
59	0.126	67.0424	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	14.61	190715_Poo_TruePooFK180310_Full3	67.0424:78250 68.04575:196694 69.04911:0		33686	27101	45149	78250
60	21.544	68.05022	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	81.08	190715_Poo_TruePooFK180310_Full2	68.05022:271421 69.05357:57623 70.05693:52076		87462	461636	271421	679566
61	0.112	69.04539	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	14.64	190715_Blk_KM1906U14-Blk_C	69.04539:121465 70.04874:35631 71.0521:1424710		121465	96301	74462	116115
62	2.438	70.06577	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.8	190715_Blk_KM1906U14-Blk_C	70.06577:92035 71.06912:8115 72.07248:352269		92035	53574	143777	205505
63	8.254	70.06579	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	15.13	190715_Blk_KM1906U14-Blk_C	70.06579:230549 71.06914:15285 72.0725:74485		230549	76243	79853	70120
64	14.25	70.06583	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.92	190715_Poo_TruePooFK180310_Full1	70.06583:85677 71.06918:79359 72.07254:97742		47900	85677	99101	68629
65	21.538	70.06585	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	27.87	190715_Poo_TruePooFK180310_Full1	70.06585:292146 71.0692:776400 72.07256:1111536		15959	292146	40954	948539
66	7.453	70.06586	Unknown	[M+H]+	similar chromatogram in higher mz_985	0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	26.52	190715_Poo_TruePooFK180310_Full3	70.06586:456497 71.06921:0 72.07257:223785		49465	390747	363144	456497
67	3.714	70.06586	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.4	190715_Poo_TruePooFK180310_Full1	70.06586:72993 71.06921:0 72.07257:130968		44938	72993	124097	133568
68	20.944	70.06586	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.69	190715_Poo_TruePooFK180310_Full1	70.06586:49120 71.06921:0 72.07257:101272		0	49120	16776	14510
69	0.138	70.06589	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	31.65	190715_Poo_TruePooFK180310_Full3	70.06589:1591464 71.06924:94687 72.0726:28161124		126287	163446	1979372	1591464
70	9.98	71.03768	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	17.22	190715_Blk_KM1906U14-Blk_C	71.03768:100596 72.04103:15497 73.04439:42920		100596	0	0	0
71	9.249	71.03776	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1070.36	190715_Poo_TruePooFK180310_Full3	71.03776:158583 72.04111:0 73.04447:45565		49560	122819	121035	158583
72	9.321	71.06106	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.47	190715_Poo_TruePooFK180310_Full1	71.06106:25387 72.06441:0 73.06777:423698		7953	25387	23672	21523
73	21.544	72.06891	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	12481.69	190715_Poo_TruePooFK180310_Full2	72.06891:624084 73.07226:534387 74.07562:261813		309303	1073806	624084	1427682
74	2.438	72.0814	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.61	190715_Blk_KM1906U14-Blk_C	72.0814:269150 73.08475:38276 74.08811:905234		269150	109978	327769	509627
75	6.913	72.08145	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	9.29	190715_Poo_TruePooFK180310_Full1	72.08145:294334 73.0848:45555 74.08816:409606		59751	294334	261298	368992
76	0.135	72.08148	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	205.52	190715_Poo_TruePooFK180310_Full3	72.08148:29125800 73.08483:2697548 74.08819:164356656		681822	644661	11531526	29125800
77	9.812	72.08149	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.2	190715_Poo_TruePooFK180310_Full2	72.08149:318475 73.08484:28728 74.0882:931740		112051	67916	318475	300553
78	10.93	72.08149	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.94	190715_Poo_TruePooFK180310_Full3	72.08149:386201 73.08484:36700 74.0882:2744950		161113	44562	267475	386201
79	8.115	72.0815	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.13	190715_Poo_TruePooFK180310_Full1	72.0815:164181 73.08485:29004 74.08821:436870		79659	164181	154738	191793
80	5.366	72.0815	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.32	190715_Poo_TruePooFK180310_Full3	72.0815:393884 73.08485:28261 74.08821:2087297		99912	172151	345973	393884
81	3.699	72.0815	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.36	190715_Poo_TruePooFK180310_Full1	72.0815:147952 73.08485:24486 74.08821:459333		76228	147952	263449	383050
82	8.185	73.02912	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	22.33	190715_Poo_TruePooFK180310_Full1	73.02912:47339 74.03247:0 75.03583:14714		2402	47339	45272	51545
83	10.063	73.04759	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	137.33	190715_Poo_TruePooFK180310_Full1	73.04759:19042 74.05094:0 75.0543:75176		0	19042	13004	8773
84	1.838	73.06541	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.41	190715_Blk_KM1906U14-Blk_C	73.06541:82763 74.06876:114517 75.07212:84128		82763	275080	144831	104307
85	0.322	73.06551	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	10.93	190715_Poo_TruePooFK180310_Full1	73.06551:372381 74.06886:135989 75.07222:122097		48950	372381	160569	123127
86	10.01	73.07663	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	8.72	190715_Blk_KM1906U14-Blk_C	73.07663:87083 74.07998:0 75.08334:0		87083	12780	10025	19470
87	3.403	73.07668	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.24	190715_Blk_KM1906U14-Blk_C	73.07668:82026 74.08003:0 75.08339:0		82026	24997	29035	37705
88	14.25	73.0767	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	11.85	190715_Poo_TruePooFK180310_Full1	73.0767:180997 74.08005:81837 75.08341:0		5935	180997	9398	17452
89	5.28	73.07673	Unknown	[M+H]+	similar chromatogram in higher mz_3330; similar chromatogram in higher mz_258; similar chromatogram in higher mz_1575; similar chromatogram in higher mz_1349	0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	9.76	190715_Poo_TruePooFK180310_Full2	73.07673:83723 74.08008:0 75.08344:0		30296	25890	83723	41616
90	7.607	73.07674	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	9.02	190715_Poo_TruePooFK180310_Full1	73.07674:100525 74.08009:40838 75.08345:0		90511	100525	30392	51774
91	13.475	73.07674	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7.59	190715_Poo_TruePooFK180310_Full3	73.07674:173063 74.08009:69690 75.08345:0		11872	8591	3655	173063
92	9.301	73.07674	Unknown	[M+H]+	similar chromatogram in higher mz_767; similar chromatogram in higher mz_563; similar chromatogram in higher mz_1318; similar chromatogram in higher mz_2028; similar chromatogram in higher mz_131; similar chromatogram in higher mz_613; similar chromatogram in higher mz_881; similar chromatogram in higher mz_2197; similar chromatogram in higher mz_1853; similar chromatogram in higher mz_2193; similar chromatogram in higher mz_2796	0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	12.97	190715_Poo_TruePooFK180310_Full3	73.07674:233773 74.08009:0 75.08345:0		24699	203752	195824	233773
93	6.772	73.07674	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.21	190715_Poo_TruePooFK180310_Full3	73.07674:136049 74.08009:31807 75.08345:11147		30130	10588	73771	136049
94	21.543	73.07675	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	51.01	190715_Poo_TruePooFK180310_Full3	73.07675:1089215 74.0801:139516 75.08346:0		258766	828518	470599	1089215
95	0.885	73.07675	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.26	190715_Poo_TruePooFK180310_Full3	73.07675:184589 74.0801:49528 75.08346:13542		31558	22114	49109	184589
96	18.143	73.07676	Unknown	[M+H]+	similar chromatogram in higher mz_922; similar chromatogram in higher mz_1336; similar chromatogram in higher mz_937	0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7.39	190715_Poo_TruePooFK180310_Full3	73.07676:193870 74.08011:84244 75.08347:0		15979	21110	16561	193870
97	2.241	73.0768	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.4	190715_Poo_TruePooFK180310_Full3	73.0768:130107 74.08015:34622 75.08351:14754		69619	26165	33015	130107
98	19.744	73.08479	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.42	190715_Poo_TruePooFK180310_Full2	73.08479:14412 74.08814:0 75.0915:10397		0	5191	14412	10252
