Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	MSI level	Comment	Mannually modified	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	190715_Blk_KM1906U14-Blk_C	190715_Poo_TruePooFK180310_Full1	190715_Poo_TruePooFK180310_Full2	190715_Poo_TruePooFK180310_Full3
1153	21.119	129.0313	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2130.33	190715_Poo_TruePooFK180310_Full3	129.0313:167799 130.03465:0 131.03801:0		99435	159443	172659	167799
1154	2.161	129.05475	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.55	190715_Poo_TruePooFK180310_Full1	129.05475:55199 130.0581:48472 131.06146:153046		47418	55199	17476	17602
1155	0.141	129.06187	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.56	190715_Poo_TruePooFK180310_Full3	129.06187:79164 130.06522:0 131.06858:0		35308	46489	74924	79164
1156	9.103	129.06596	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	37.27	190715_Blk_KM1906U14-Blk_C	129.06596:284544 130.06931:18923 131.07267:44044		284544	8360	30391	26698
1157	14.25	129.06601	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	11.81	190715_Poo_TruePooFK180310_Full1	129.06601:103630 130.06936:123887 131.07272:324807		11997	103630	13587	33490
1158	8.308	129.06609	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	382.02	190715_Poo_TruePooFK180310_Full3	129.06609:3949431 130.06944:214747 131.0728:375819		30499	3237301	3454477	3949431
1159	9.684	129.0661	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.33	190715_Poo_TruePooFK180310_Full1	129.0661:65366 130.06945:0 131.07281:73251		4531	65366	48375	47654
1160	16.017	129.06612	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.56	190715_Poo_TruePooFK180310_Full3	129.06612:67804 130.06947:67063 131.07283:467291		16693	17905	13548	67804
1161	13.475	129.06613	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.9	190715_Poo_TruePooFK180310_Full3	129.06613:70134 130.06948:70771 131.07284:387919		19254	15790	20198	70134
1162	18.143	129.06615	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.43	190715_Poo_TruePooFK180310_Full3	129.06615:77753 130.0695:97261 131.07286:576198		13940	13952	12261	77753
1163	18.537	129.06615	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.38	190715_Poo_TruePooFK180310_Full3	129.06615:46695 130.0695:44583 131.07286:413517		13906	15603	10994	46695
1164	20.366	129.08907	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.57	190715_Poo_TruePooFK180310_Full3	129.08907:59875 130.09242:88249 131.09578:0		25519	35969	18105	59875
1165	21.473	129.08916	Unknown	[M+H]+	similar chromatogram in higher mz_5135	0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.92	190715_Poo_TruePooFK180310_Full3	129.08916:79028 130.09251:0 131.09587:0		15327	19805	29687	79028
1166	9.671	129.09129	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7.35	190715_Poo_TruePooFK180310_Full1	129.09129:66259 130.09464:179718 131.098:38123		25537	66259	50134	50123
1167	14.25	129.10242	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.25	190715_Poo_TruePooFK180310_Full1	129.10242:158477 130.10577:1141921 131.10913:206479		59532	158477	67798	92376
1168	0.148	129.10243	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	11.81	190715_Poo_TruePooFK180310_Full1	129.10243:246079 130.10578:667486 131.10914:309817		97948	246079	625130	156144
1169	9.271	129.10243	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	8.23	190715_Poo_TruePooFK180310_Full3	129.10243:157168 130.10578:174483 131.10914:75912		145946	124419	133486	157168
1170	13.304	129.10248	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	8.41	190715_Poo_TruePooFK180310_Full3	129.10248:225480 130.10583:635311 131.10919:141438		141493	80037	80727	225480
1171	16.017	129.10249	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.92	190715_Poo_TruePooFK180310_Full3	129.10249:220054 130.10584:563068 131.1092:188575		62289	66533	56136	220054
1172	18.143	129.10251	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.89	190715_Poo_TruePooFK180310_Full3	129.10251:202772 130.10586:932792 131.10922:289637		52644	51653	59086	202772
1173	9.734	129.10252	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.74	190715_Poo_TruePooFK180310_Full3	129.10252:125211 130.10587:34502 131.10923:102860		90260	107810	90682	125211
1174	18.537	129.10252	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.17	190715_Poo_TruePooFK180310_Full3	129.10252:182060 130.10587:514440 131.10923:170939		49107	54465	53191	182060
