"Metabolite.Name","Column","Means","Std.Devs"
"Guanosine","HILICNeg",1102732.7037037,2821351.55136875
"Guanosine","HILICPos",948054.743589744,1932531.61217048
"Inosine","HILICNeg",3631279.23076923,9694340.76604391
"Inosine","HILICPos",1946677.84615385,5192099.63231556
