"chemical_ID","score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","Name","Formula","MonoisotopicMass","Adduct","ISgroup","mean_int_vec","MD"
"HMDB33629",0,"17_1",144.10197,300.5,"Multiple","144.1019","xi-4-Hydroxy-4-methyl-2-cyclohexen-1-one","C7H10O2","126.068079564","M+NH4","ISgroup_17_4_11",90114088.6,0.102
"HMDB33629",0,"7_1",144.10198,462.7,"Multiple","144.1019","xi-4-Hydroxy-4-methyl-2-cyclohexen-1-one","C7H10O2","126.068079564","M+NH4","ISgroup_7_11_11",36882478.2,0.102
"HMDB33631",0,"7_1",131.05342,599.6,"Multiple","131.05378","Lactapiperanol D","C18H28O5","324.193674006","M+3Na","ISgroup_7_12_6",2122729.5,0.053
"HMDB33631",0,"17_1",182.08127,492.5,"Multiple","182.08205","Lactapiperanol D","C18H28O5","324.193674006","M+H+K","ISgroup_17_16_9",6732136.9,0.081
"HMDB33642",0,"7_21",144.10198,462.7,"Multiple","144.10191","(2xi3xi6E)-37-Dimethyl-6-octene-1238-tetrol","C10H20O4","204.136159128","M+2ACN+2H","ISgroup_7_11_11",36882478.2,0.102
"HMDB33642",0,"17_1",144.10197,300.5,"Multiple","144.10191","(2xi3xi6E)-37-Dimethyl-6-octene-1238-tetrol","C10H20O4","204.136159128","M+2ACN+2H","ISgroup_17_4_11",90114088.6,0.102
"HMDB33642",0,"17_21",144.10193,516.8,"Multiple","144.10191","(2xi3xi6E)-37-Dimethyl-6-octene-1238-tetrol","C10H20O4","204.136159128","M+2ACN+2H","ISgroup_17_17_11",5695549,0.102
"HMDB33642",0,"7_1",114.06651,242.9,"Multiple","114.06633","(2xi3xi6E)-37-Dimethyl-6-octene-1238-tetrol","C10H20O4","204.136159128","M+H+Na","ISgroup_7_6_7",5797180.3,0.067
"HMDB33658",0,"11_1",209.04795,593.1,"Multiple","209.04953","De-O-methyldihydrosterigmatocystin","C17H12O6","312.063388116","2M+3H","ISgroup_11_40_5",28118610.5,0.048
"HMDB33660",0,"7_1",289.13933,537.3,"Multiple","289.14103","(R)-Athanagrandione","C15H22O4","266.151809192","2M+2Na","ISgroup_7_12_14",5861064.3,0.139
"HMDB33660",0,"7_1",289.13933,537.3,"Multiple","289.14103","(R)-Athanagrandione","C15H22O4","266.151809192","M+Na","ISgroup_7_12_14",5861064.3,0.139
"HMDB33660",0,"4_1",153.06008,403.3,"Multiple","153.06112","(R)-Athanagrandione","C15H22O4","266.151809192","M+H+K","ISgroup_4_5_7",14279827,0.06
"HMDB33663",0,"9_1",148.06048,652.1,"Multiple","148.0599","Decarbamoylneosaxitoxin","C9H16N6O4","272.12330303","M+H+Na","ISgroup_9_33_7",46510449.8,0.06
