"","x"
"181.01149_332.8",17
"181.03095_467.4",1
"181.06946_496",6
"181.06943_567.3",11
"181.0694_590.8",3
"181.10196_263.5",1
"181.10201_246.5",2
"181.10514_413.5",2
"181.12741_209.9",1
"181.12744_448.6",1
"182.01478_332.8",17
"182.03295_579.5",1
"182.06731_330.8",7
"182.08127_492.5",30
"182.11772_139.2",1
"184.03028_578.3",1
"184.06398_325.5",1
"184.07342_671",1
"184.16975_111.8",1
"184.95602_451",2
"185.0922_394.9",1
"186.95392_452.4",2
"189.09836_441.4",2
"189.12346_417.2",2
"189.15982_848.2",5
"190.01268_403",1
"191.07382_426.8",1
"191.0738_497.8",2
"191.07372_547.7",3
"192.12313_273.3",1
"192.12306_548.1",1
"192.88819_187.3",30
"193.05307_583.3",5
"193.08953_496.5",3
"193.08939_459.5",5
"194.05642_581.8",3
"194.06742_202.7",1
"194.09283_495.9",3
"194.09273_459.8",8
"194.88635_185.4",30
"195.06869_550.1",3
"195.06871_576.2",9
"195.07642_522.8",1
"196.08301_243.3",2
"196.16976_108.8",2
"198.12407_427.9",1
"198.1854_108",2
"201.02509_385.7",22
"201.12344_558.3",1
"202.99707_791.9",3
"203.9976_791.8",2
"204.12315_338.5",13
"206.1025_588.2",1
"206.13885_305.2",1
"206.13885_139.1",2
"207.06862_448.8",3
"209.04795_593.1",6
"209.08445_398.6",1
"210.07229_599.7",1
"211.05646_651.4",3
"212.09517_527.9",1
"212.16453_118.4",3
"214.06459_197.7",1
"218.13864_259.1",28
"218.97463_791.1",3
"221.00762_791.8",5
"223.0051_791.8",2
"223.06362_443.3",3
"223.06353_494.4",3
"225.07927_383.1",2
"225.07926_455.1",1
"225.98252_452",1
"226.18021_113.1",1
"227.18349_112.1",3
"227.98041_452.9",1
"228.09795_290.7",1
"229.97819_452.3",1
"230.99514_789.1",18
"233.08951_325.7",1
"233.91491_182.8",28
"234.91802_184.1",1
"235.91305_183",28
"236.14934_409.7",1
"236.14928_519.2",22
"236.91624_184.1",28
"237.91115_184",28
"239.14899_119.7",4
"239.17551_148.6",1
"242.22269_503.3",1
"244.02363_791.9",3
"244.0929_391.3",26
"244.19087_113",3
"244.93469_1194.3",1
"245.02486_792.1",1
"245.11325_571.9",31
"246.09737_455.4",1
"246.09731_518.3",1
"246.09723_495.6",30
"247.10056_494.8",27
"248.02169_789.5",20
"250.01757_789.1",17
"252.08296_651.2",1
"252.1092_178",3
"252.14415_554.7",32
"253.11245_190.7",27
"253.14778_554.8",1
"256.17549_119.9",5
"258.11023_579.5",5
"259.03062_651.6",5
"259.12893_528.4",1
"260.00121_792.1",1
"260.11301_150",2
"268.10411_213.6",1
"269.0881_366.6",24
"269.10546_575.7",7
"269.10757_214.4",23
"269.12522_553.6",1
"271.12883_495.1",1
"272.13391_514.4",24
"275.07137_591.4",1
"276.96449_791.8",1
"277.9652_791.1",1
"278.96128_792.1",2
"282.11848_604.1",2
"283.90656_450.5",1
"284.09894_447.2",24
"285.14449_401.3",30
"285.14451_652.2",30
"286.11338_602.1",1
"287.044_545.6",2
"289.13933_537.3",4
"289.24859_112.5",1
"292.94198_790.6",1
"293.99096_790.9",1
"298.09682_149.5",1
"300.09242_158.6",26
"303.11873_592.8",3
"303.15495_467.6",32
"317.99107_790.1",1
"322.84745_185.7",27
"324.84558_184.1",24
"325.08821_403.2",2
"326.05632_312.3",1
"326.84386_184.1",23
"328.0856_403.3",2
"333.12932_608.9",5
"334.13284_607.5",11
"338.05019_548.3",3
"340.04734_548.3",3
"344.22803_112.4",6
"347.14502_374.3",1
"350.93186_789.6",1
"351.93238_789.9",4
"352.92813_789.8",3
"353.0556_640.4",1
"357.16554_499.9",2
"360.15015_606",1
"363.01554_789.5",17
"365.01085_789",15
"366.90946_789.3",2
"367.95858_789.7",1
"368.94256_791.8",1
"372.19044_606.1",7
"372.19045_660.3",1
"377.13312_606.1",1
"377.14584_606",1
"385.11051_117.9",1
"386.04226_230.9",30
"388.03646_230.9",7
"388.25425_110.1",6
"391.95826_790.8",1
"392.95913_788.9",2
"393.95468_789.9",1
"401.1248_313.1",12
"411.77998_187.3",17
"413.77819_185.7",22
"415.77629_184.1",15
"418.15982_660.4",1
"420.90109_791.9",3
"432.28048_109.3",5
"433.09443_230.9",1
"444.05679_548",4
"448.89924_789.8",4
"465.92599_789.7",1
"466.92647_789.9",5
"467.92233_789.7",1
"476.30662_106.9",4
"478.00972_789.7",18
"480.00489_789.1",15
"481.90346_789.9",1
"494.86863_791.9",2
"518.08481_219.4",24
"580.91991_789.9",5
"581.92026_790.3",8
"582.91648_790.4",9
"593.00355_790",17
"594.00246_789.7",14
"594.99961_789.3",14
"596.89761_790.6",4
"695.91394_789.8",6
"696.91442_790.1",7
"697.91078_789.6",7
"707.99761_789.9",14
"709.99423_789.8",14
"711.89163_790.1",2
"810.90781_790.4",7
"812.905_789.5",7
"822.99152_789.8",14
"824.98813_789.2",14
