"feature","mzmed","rtmed","adduct_type"
"FT620",219.142030138858,265.3154296875,"C13"
"FT628",223.00513401545,789.58764,"N15"
"FT635",224.09713444671,331.512878417969,"C13"
"FT640",226.180226792035,114.483039855957,"mH2OpH"
"FT643",227.183546148071,113.399719238281,"C13"
"FT644",227.98042153398,449.931274414062,"N15"
"FT648",229.978154146664,450.551330566406,"N15"
"FT654",231.099220937933,567.398559570312,"C13"
"FT656",232.091586288233,567.398559570312,"S34"
"FT659",232.990997293697,787.659240722656,"S34"
"FT672",237.152865429987,407.842803955078,"C13"
"FT673",237.153182310152,516.441070556641,"C13"
"FT680",239.110648793899,153.81819152832,"C13"
"FT683",240.15240580765,119.980903625489,"C13"
"FT685",242.132792774281,565.450775146484,"C13"
"FT691",245.096166586915,389.901184082031,"C13"
"FT695",245.194198608398,112.642028808594,"C13"
"FT696",246.020997246823,788.311401367188,"N15"
"FT699",246.116624590118,567.0302734375,"C13"
"FT701",247.100614659255,512.467224121094,"C13"
"FT705",249.020236941304,787.80654,"S33"
"FT706",250.017570779638,787.659240722656,"S34"
"FT711",252.128517138107,263.605590820313,"C13"
"FT717",253.147816778065,552.772338867188,"C13"
"FT721",256.175494302274,120.362632751465,"NH4"
"FT724",259.113196659836,576.260833740234,"C13"
"FT730",261.167872014106,120.88879776001,"C13"
"FT740",269.101043701172,223.450790405273,"N15"
"FT742",269.107588470407,215.244842529296,"C13"
"FT744",270.091467143122,362.129257202148,"C13"
"FT752",274.092430687274,216.659118652344,"C13"
"FT759",277.111239337152,393.918869018554,"C13"
"FT760",277.965270296625,788.436645507812,"S33"
"FT761",278.96137534408,788.892211914062,"S34"
"FT780",292.116263917876,129.47269821167,"C13"
"FT788",299.100577780524,156.460830688477,"C13"
"FT790",300.092455963321,157.818473815918,"S34"
"FT791",300.101988887134,158.399833679199,"O18"
"FT805",324.128875732422,724.493713378906,"NH4"
"FT818",331.063757021619,355.373657226562,"C13"
"FT820",334.132869061364,605.095581054688,"C13"
"FT821",335.134303684789,605.466156005859,"O18"
"FT825",344.228010962465,114.380996704102,"NH4"
"FT827",345.23143772935,113.282272338867,"C13"
"FT836",351.932437677212,787.906005859375,"S33"
"FT837",352.928172509969,787.493591308594,"S34"
"FT843",363.01553769249,788.361907958984,"NH4"
"FT845",365.010831402725,787.80654,"S34"
"FT855",372.190439303252,658.080139160156,"C13"
"FT867",386.132522529149,525.973114013672,"C13"
"FT870",389.25745058506,110.274169921875,"C13"
"FT872",392.959141697255,787.134338378906,"S33"
"FT873",393.954726355199,787.560974121094,"S34"
"FT890",421.902098684642,791.27392578125,"S33"
"FT905",466.926489439349,787.80654,"S33"
"FT906",467.922327537639,787.733703613281,"S34"
"FT907",469.918157813657,787.906005859375,"S34"
"FT909",478.009704825707,787.793223613281,"NH4"
"FT910",480.004886892611,787.666625976562,"S34"
"FT913",495.869593842672,787.733703613281,"S33"
"FT914",496.865625075171,787.580078125,"S34"
"FT923",581.920296943415,787.672668457031,"S33"
"FT924",582.916512101139,787.856272929688,"S34"
"FT926",593.003544344109,788.309997558594,"NH4"
"FT928",594.9996100658,787.802429199219,"S34"
"FT934",696.914523211357,788.182434082031,"S33"
"FT935",697.910788411796,787.906005859375,"S34"
"FT938",709.99417652741,787.779907226562,"S34"
"FT940",712.068249625301,554.230041503906,"S34"
"FT941",714.065172005711,554.983299523437,"S34"
"FT942",717.061066884686,550.380065917969,"S34"
"FT945",812.904848698509,787.906005859375,"S34"
"FT947",824.988238699692,787.55859375,"S34"
