"feature","mzmed","rtmed","BMIS","BMIS_avg"
"FT107",133.027835432651,782.316467285156,"DL-Proline, D7",401481459.898225
"FT108",133.031872852009,368.097686767579,"DL-Histidine, 15N",79055694.7679034
"FT109",133.061043528198,602.433166503906,"Adenine, 15N2",3346551.4062146
"FT110",133.098982553652,340.861785888672,"Guanine, 13C-15N2",8640312.72143107
"FT111",133.098966038239,341.664428710938,"Guanine, 13C-15N2",6318671.84250264
"FT115",134.044941694208,662.145935058594,"DL-Proline, D7",14045867.8751343
"FT116",134.081254435126,524.982635498047,"DL-Histidine, 15N",5151872.42498915
"FT117",134.090361443765,245.622375488281,"DL-Valine, D8",1843792.19903418
"FT120",135.030270720748,400.698303222656,"Guanine, 13C-15N2",2953980.85970181
"FT121",135.047465931711,491.392364501953,"Adenine, 15N2",1280795205.91852
"FT124",136.050689958931,357.185089111328,"Guanine, 13C-15N2",5127589.98181758
"FT125",136.050678837114,362.868530273438,"DL-Histidine, 15N",3109970.83183129
"FT126",136.061873030384,229.121673583984,"Adenine, 15N2",468382987.238985
"FT127",136.061825606591,176.442260742188,"Adenine, 15N2",78119522.966555
"FT128",136.06182067739,145.065462,"None",4882242.06373995
"FT130",137.045881749343,287.371124267578,"Guanine, 13C-15N2",173148814.904707
"FT131",137.045850337549,352.988342285156,"Cytosine, 13C2-15N3",35241601.3302038
"FT132",137.045900865582,250.361999511719,"Guanine, 13C-15N2",5628219.80202508
"FT133",137.058947465437,229.120590209961,"Adenine, 15N2",14963928.074978
"FT134",137.063158362513,556.295349121094,"None",1695118.19550769
"FT137",138.055027125108,377.480987548828,"Betaine, 13C5-15N",277003319.519881
"FT139",138.136557295908,386.2666015625,"Guanine, 13C-15N2",75430.8389589659
"FT140",139.030372796242,322.837127685547,"None",4712530.56546901
"FT141",139.050279882377,185.410781860352,"Betaine, 13C5-15N",11441448.6904754
"FT142",139.050264406492,186.073638916016,"Cytosine, 13C2-15N3",9325657.61373141
"FT143",139.050229351461,400.984283447266,"DL-Proline, D7",113686720.244111
"FT144",139.050299842083,465.020904541016,"Guanine, 13C-15N2",16145361.8412608
"FT149",139.142827423895,363.63429260254,"DL-Valine, D8",4466754.67790231
"FT150",139.14282786698,387.312225341797,"DL-Valine, D8",438220.338687932
"FT151",140.068161010742,343.399780273438,"None",3984731.39286455
"FT153",141.06592018411,340.898712158203,"Betaine, 13C5-15N",18797562.1794509
"FT154",141.113514921389,226.158500671386,"Betaine, 13C5-15N",1580021.75272805
"FT156",143.081595049019,418.014556884766,"Betaine, 13C5-15N",20492562.8627239
"FT157",143.081545509849,471.555969238281,"Betaine, 13C5-15N",636184250.408993
"FT158",143.081604966294,451.079895019531,"Betaine, 13C5-15N",40337350.6102537
"FT160",144.101970159008,298.497833251953,"Betaine, 13C5-15N",97312274.9967455
"FT161",144.101976014885,460.434612,"Betaine, 13C5-15N",41701468.746818
"FT162",144.982185659789,178.096229553222,"DL-Histidine, 15N",478750488.387182
"FT163",144.9822021061,458.842895507812,"DL-Histidine, 15N",239494197.709772
"FT167",146.092456910038,587.652160644531,"Betaine, 13C5-15N",3293531.31174443
"FT168",146.117593851504,495.920623779297,"Adenine, 15N2",266454187.57604
"FT169",146.117635638422,405.872192382812,"Betaine, 13C5-15N",90210964.2141838
"FT170",146.11761279326,254.605026245117,"Betaine, 13C5-15N",1825269.54687371
"FT171",146.980364848366,178.098258972168,"DL-Histidine, 15N",213102977.859269
"FT172",146.980389479566,458.759567260742,"DL-Histidine, 15N",112131873.386775
"FT175",147.099662937081,527.451782226562,"None",2847840.26840066
"FT176",147.099643801243,525.812927246094,"DL-Histidine, 15N",4358398.77907445
"FT177",147.112844926428,974.911743164062,"DL-Proline, D7",18352685.5370879
"FT179",147.983678816314,178.409439086915,"DL-Histidine, 15N",9786859.63927398
"FT180",148.042785571469,480.993469238281,"Adenine, 15N2",1771593.20548662
"FT182",148.060477371591,646.319152832031,"DL-Proline, D7",80972842.3890232
"FT183",148.060515330693,618.271240234375,"Adenine, 15N2",3432781.39154628
"FT185",148.09686317995,408.195922851562,"Arsenobetaine, 13C2",67559371.2207256
"FT186",148.105899982793,530.339935302734,"None",39951215.9067205
"FT187",148.105861058009,527.404724121094,"DL-Histidine, 15N",75383358.1128618
"FT190",149.063147582876,526.974334716797,"Adenine, 15N2",5812733.14046174
"FT194",150.058359571024,362.432205200196,"Guanine, 13C-15N2",25181270.4112279
"FT195",150.077504932,296.609558105469,"Adenine, 15N2",3273164.21693705
"FT196",150.112554210085,192.002197265625,"Betaine, 13C5-15N",17367005.6190343
"FT197",151.042379492596,511.403045654297,"None",1866374.89379902
"FT198",151.042363299102,478.792160034179,"None",3121409.3960617
"FT199",151.096566390944,130.487518310547,"Arsenobetaine, 13C2",19016702.0279802
"FT200",151.144195970867,310.427200317383,"Arsenobetaine, 13C2",268094085.921797
"FT202",152.056763399107,436.985717773438,"None",7368821.2358961
"FT203",152.070667448376,127.814682006836,"Betaine, 13C5-15N",31040783.7180093
"FT204",152.147537231445,310.413299560547,"Arsenobetaine, 13C2",17955126.0093899
"FT209",154.053281069964,263.054244995117,"Guanine, 13C-15N2",20190702.3945729
"FT210",154.072359695096,452.516418457031,"DL-Proline, D7",1110758.88023437
"FT212",154.080266238987,192.677673339844,"Arsenobetaine, 13C2",1431927.75928513
"FT214",155.081535943153,436.274353027344,"Betaine, 13C5-15N",199558421.172459
"FT216",156.076880644554,579.155731201172,"DL-Histidine, 15N",52980767.5585868
"FT220",157.097272514608,346.370244,"Arsenobetaine, 13C2",15691453.9435169
"FT221",158.077325830507,578.746215820312,"DL-Histidine, 15N",880275.251513122
"FT222",158.081274930585,392.314300537109,"DL-Proline, D7",12874736.6038298
"FT223",158.117653738812,444.896334,"Betaine, 13C5-15N",6344215.18827921
"FT224",159.01710761558,571.989995011719,"None",17984143.1317883
"FT225",159.027815148744,287.806259155273,"None",6726971.90653263
"FT226",159.076490200141,522.069213867188,"DL-Proline, D7",6058013.39155149
"FT227",159.076546481767,639.435974121094,"DL-Histidine, 15N",26219339.0000337
"FT228",160.096901582102,416.501373291016,"Betaine, 13C5-15N",308113754.393032
"FT229",160.096920004461,369.476531982422,"Betaine, 13C5-15N",28983314.2359963
"FT230",160.096911587652,477.692321777344,"None",19426945.7057623
"FT231",160.133318126543,494.783966064453,"Adenine, 15N2",7062260.74993137
"FT232",160.133288737796,429.4697265625,"Arsenobetaine, 13C2",13261293.1247686
"FT233",161.014309837702,572.042114257812,"None",7867700.28740805
"FT234",161.063143808035,467.830520629883,"Betaine, 13C5-15N",5378318.32268678
"FT236",162.112531827434,401.223876953125,"Betaine, 13C5-15N",193068199.672966
"FT237",162.112520955115,491.100128173828,"Adenine, 15N2",241397341.824034
"FT238",162.112547019652,315.765640258789,"Arsenobetaine, 13C2",14930116.9932932
"FT241",164.100887463092,426.533615112304,"Cytosine, 13C2-15N3",177761.524608035
"FT242",164.126133256899,491.573226928711,"None",1129695.98280607
"FT243",165.058159383827,413.529479980469,"Arsenobetaine, 13C2",46474329.2381755
"FT246",166.086345201097,471.859588623047,"Betaine, 13C5-15N",14477456.9471851
"FT247",166.086349651665,259.284408569336,"Adenine, 15N2",39672291.8384511
"FT248",166.086362173707,416.241485595703,"Betaine, 13C5-15N",9691475.34732057
"FT250",168.069069612435,411.684906005859,"Guanine, 13C-15N2",6407099.75093654
"FT251",168.088057178993,252.534149169922,"DL-Proline, D7",1794349.23565912
"FT252",168.096191146631,155.101348876953,"Arsenobetaine, 13C2",2628136.25737528
"FT254",170.068431434509,942.434326171875,"Arsenobetaine, 13C2",9182723.18221062
"FT255",170.078085838273,199.182754516602,"None",249484.384358017
"FT256",170.117645542637,395.913482666016,"Betaine, 13C5-15N",16415218.0663861
"FT257",171.076475419003,593.851684570312,"Adenine, 15N2",1740248.16930815
"FT258",171.084409203087,189.907333374023,"Arsenobetaine, 13C2",41880533.4128751
"FT259",172.071812848881,438.761627197266,"None",753374.97849428
"FT261",172.09078045241,197.630722045898,"Arsenobetaine, 13C2",604061.796999371
"FT262",172.133255093695,109.273010253906,"Cytosine, 13C2-15N3",7828984.82369257
"FT263",173.030760079729,693.196264003906,"DL-Valine, D8",785165.60125604
"FT264",173.09219527275,412.075866699219,"Betaine, 13C5-15N",14148922.3782812
"FT265",173.100114175961,185.426788330078,"Adenine, 15N2",460298.038973947
"FT266",174.022043816961,269.751037597656,"Guanine, 13C-15N2",17774509.285578
"FT267",174.038745350526,400.325866699219,"None",46650629.2341318
"FT268",174.136567546363,262.724349975586,"DL-Valine, D8",2095174.54734997
"FT270",175.071470703208,635.40869140625,"Adenine, 15N2",1736845.26508177
"FT272",175.10778644196,546.360961914062,"Adenine, 15N2",1438813.74082254
"FT273",175.119075310468,1016.17602539062,"DL-Proline, D7",163893663.281845
"FT274",176.091817564531,573.119743976563,"DL-Histidine, 15N",20545169.5758687
"FT276",176.111189809566,393.944976806641,"Guanine, 13C-15N2",2035448.22443246
"FT277",176.128235982595,379.093338012696,"Betaine, 13C5-15N",7345322.87579175
"FT278",176.128233767185,446.848083496094,"Adenine, 15N2",4523213.99828194
"FT279",176.128185475978,537.887939453125,"Adenine, 15N2",29954530.9676623
"FT280",176.13946277885,343.112747192382,"None",4826116.97388699
"FT281",177.036152422035,400.325866699219,"None",15795999.3151972
"FT282",177.058218909815,463.183959960938,"Arsenobetaine, 13C2",1916491.81384836
"FT283",178.107467039614,436.703689152344,"Adenine, 15N2",6654950.68122692
"FT284",179.004844667723,330.212066650391,"Arsenobetaine, 13C2",34987129.1501879
"FT285",179.073718195047,493.218444824219,"Adenine, 15N2",52939434.3290704
"FT286",179.073649415379,564.727783203125,"DL-Histidine, 15N",101064594.071608
"FT288",180.061817602019,622.933990478516,"Adenine, 15N2",3555449.0946798
"FT291",180.101973783405,411.681182861328,"Betaine, 13C5-15N",29302101.9556773
"FT293",181.030927928401,465.017639160156,"DL-Histidine, 15N",476677275.360964
"FT296",181.101964372134,247.486480712891,"Cytosine, 13C2-15N3",6942782.53156738
"FT297",181.102008035301,245.622375488281,"DL-Valine, D8",8603293.14618246
"FT300",181.127432022338,447.221725463867,"Betaine, 13C5-15N",5173201.0904665
"FT301",181.127467043969,442.887451171875,"DL-Histidine, 15N",2853379.87799455
"FT303",182.032948759435,574.333740234375,"Betaine, 13C5-15N",152769973.812655
"FT304",182.067310825353,328.779083251953,"Betaine, 13C5-15N",8025192.94160552
"FT305",182.081297547604,490.025283813476,"Adenine, 15N2",12746944.1836388
"FT306",182.117712484585,135.973983764648,"Adenine, 15N2",16883382.5561863
"FT308",184.063986111721,322.993270874023,"Guanine, 13C-15N2",7474685.98846919
"FT309",184.073407295872,667.476165771484,"DL-Proline, D7",4788843.89131249
"FT310",184.169750826104,110.621955871582,"Betaine, 13C5-15N",7710406.90234238
"FT312",185.092203867554,392.53141784668,"Betaine, 13C5-15N",11438538.9815806
"FT313",186.944082312643,1228.59387207031,"DL-Histidine, 15N",224285615.025833
"FT315",188.957738862806,116.638607025147,"Betaine, 13C5-15N",2831787.24726331
"FT316",189.098327941979,438.761627197266,"DL-Proline, D7",959665.572420975
"FT317",189.123439662512,415.569763183594,"Adenine, 15N2",4864206.29190793
"FT318",189.159792339129,847.789672851562,"None",28330558.7508766
"FT319",190.01268319765,399.774444580078,"None",3261029.47201111
"FT320",190.9572796072,114.578155517578,"Betaine, 13C5-15N",2412669.63629389
"FT321",191.073831452306,423.779907226562,"Adenine, 15N2",2930416.19229553
"FT322",191.073825334788,495.865417480469,"Adenine, 15N2",2444361.42250591
"FT323",191.073731093708,545.206207275391,"None",1517108.6097966
"FT324",192.123134705061,271.917816162109,"Adenine, 15N2",4041918.22507711
"FT325",192.123065283538,543.6962890625,"DL-Histidine, 15N",4025987.36350364
"FT326",192.159625034006,115.684092286865,"Adenine, 15N2",594274.320011464
"FT327",192.888210036162,179.839553833007,"Cytosine, 13C2-15N3",3660650.77498858
"FT328",193.053083616677,578.019622802734,"DL-Histidine, 15N",45333187.7200445
"FT329",193.089542829028,492.888320922852,"Arsenobetaine, 13C2",9335010.85456726
"FT330",193.089392461931,460.352035522461,"None",108175138.727532
"FT332",194.067402401271,200.221122741699,"Cytosine, 13C2-15N3",1308867.28090711
"FT334",194.092736684814,459.37825012207,"DL-Histidine, 15N",3269068.93064724
"FT335",194.886378567572,178.807876586914,"DL-Histidine, 15N",6775507.71804558
"FT336",195.068699545786,545.427947998047,"DL-Histidine, 15N",2657243.85791249
"FT337",195.068754206777,578.228973388672,"Guanine, 13C-15N2",2163912.13672141
"FT338",195.122882176464,121.148941040039,"Adenine, 15N2",8390155.85723367
"FT339",196.083023766268,242.160903930664,"DL-Valine, D8",6953665.83439905
"FT341",196.16975402832,105.432792663574,"Arsenobetaine, 13C2",4141973.64180893
"FT342",197.096416339066,574.916717529297,"DL-Histidine, 15N",729744.219313945
"FT343",198.124074484345,425.849624633789,"DL-Histidine, 15N",3944928.82319896
"FT344",198.18538678836,107.624786376953,"Adenine, 15N2",5304118.86742026
"FT345",198.997061581154,575.279724121094,"Adenine, 15N2",8725152.95600337
"FT347",201.025109310577,383.486145019531,"None",2001235.28048857
"FT348",201.12340586511,554.384155273438,"None",632681.429906695
"FT349",204.123200002878,336.220825195312,"Adenine, 15N2",316171771.396853
"FT350",206.102494317594,583.146301269531,"DL-Histidine, 15N",6527626.27909079
"FT351",206.138851797558,302.999755859375,"Betaine, 13C5-15N",9433167.57262459
"FT352",206.138848809961,135.844207763672,"Cytosine, 13C2-15N3",62397281.1516104
"FT353",207.068609063716,446.59260559082,"Arsenobetaine, 13C2",2853723.01235672
"FT354",209.047940295326,588.523010253906,"DL-Proline, D7",35203782.7625433
"FT355",209.084456349927,396.489624023438,"Arsenobetaine, 13C2",9438017.94393482
"FT356",210.072246070417,594.013214111328,"Arsenobetaine, 13C2",1479385.1411975
"FT357",211.05646284499,645.642578125,"Adenine, 15N2",3478258.78548828
"FT358",212.095152577656,523.180419921875,"DL-Histidine, 15N",254560240.768657
