"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Na","NH4","H2O_H","K","X2H"
"FT171",146.980391527577,460.105407714844,19370449.3534734,0,0,0,0,0,0,0,0,0,0,0
"FT172",146.98031744221,474.007965087891,16823343.6873781,0,0,0,0,0,0,0,0,0,0,0
"FT175",147.09966431481,529.984313964844,2791357.63911497,0,0,0,0,0,0,0,0,0,0,0
"FT176",147.099650514282,522.810607910156,2992189.94138217,0,0,0,0,0,0,0,0,0,0,0
"FT177",147.112844926428,964.076293945312,2629703.37838771,0,0,0,0,0,0,0,0,0,0,0
"FT179",147.983680257708,183.402488708496,3053585.79521008,0,0,0,0,0,0,0,0,0,0,0
"FT180",148.042785653077,482.563491821289,1537039.05258581,0,0,0,0,0,0,0,0,0,0,0
"FT182",148.060477430879,649.149963378906,42960107.466913,2322362,0,0,0,0,0,0,0,0,0,0
"FT183",148.060516509639,621.764801025391,2436242.62900402,0,0,0,0,0,0,0,0,0,0,0
"FT185",148.096864613363,409.654937744141,57935816.2029434,3750631,0,0,0,0,0,0,0,0,0,0
"FT186",148.105902856653,532.545440673828,37904767.596329,3844810,0,0,0,0,0,0,7667993,0,0,0
"FT187",148.10586243402,530.163940429688,56886272.5538537,5978343,0,0,0,0,0,0,13468483,0,0,0
"FT189",149.063147582876,528.183197021484,4300375.2552816,0,0,0,0,0,0,0,0,0,0,0
"FT194",150.058359571024,363.184249877929,13855427.1615943,0,0,0,0,0,0,0,0,0,0,0
"FT195",150.077504958239,297.991027832031,2110252.76286816,0,0,0,0,0,0,0,0,0,0,0
"FT196",150.112556805637,196.032455444336,12949628.57431,802941,0,0,0,0,0,0,0,0,0,0
"FT197",151.042380815546,513.624755859375,1733863.25215157,0,0,0,0,0,0,0,0,0,0,0
"FT198",151.042363113828,479.942749023438,2964793.78991725,0,0,0,0,0,0,0,0,0,0,0
"FT199",151.096566389158,136.806762695312,16029444.048932,1021851,0,0,0,0,0,0,6634435,0,0,0
"FT200",151.144195970867,311.725997924805,189257519.953098,0,0,0,0,0,0,0,0,0,0,0
"FT202",152.056764709387,438.173034667969,8919102.79822421,0,0,0,0,0,0,0,0,0,0,0
"FT203",152.070670620691,131.184310913086,28878296.9213433,0,0,0,0,0,0,0,0,0,0,0
"FT204",152.070663093411,145.025283813477,17253211.0981465,1271585,0,0,0,0,0,0,0,0,0,0
"FT205",152.147537231445,311.856872558594,12525878.0634061,0,0,0,0,0,0,0,0,0,0,0
"FT210",154.053281863448,264.550018310547,12490507.7711497,0,0,0,0,0,0,974245,0,0,0,0
"FT211",154.072360874574,453.347076416016,1013931.49783704,0,0,0,0,0,0,0,0,0,0,0
"FT213",154.080266238987,196.669937133789,1265825.20182798,0,0,0,0,0,0,0,0,0,0,0
"FT215",155.081532277185,437.824310302734,151929303.269581,11295802,0,0,0,843459,0,0,0,0,0,0
"FT217",156.076872183178,581.568786,10863803.219797,0,0,0,0,0,0,0,0,0,0,0
"FT220",157.07391189395,580.82470703125,16667515.8393587,1041527,0,0,0,0,0,0,0,0,0,0
"FT221",157.097273247381,347.688720703125,12364087.1105726,946779,0,0,0,0,0,0,0,0,0,0
"FT222",158.077324919494,581.263488769531,863342.291974237,0,0,0,0,0,0,0,0,0,0,0
"FT223",158.081275161022,393.014251708984,8404429.77798074,0,0,0,0,0,0,0,19442951,0,0,0
"FT224",158.117653738812,446.133331298828,5119599.97671583,0,0,0,0,0,0,0,0,0,0,0
"FT225",159.017109647603,575.162466,17342541.7727082,0,0,0,0,0,0,0,0,56555880,0,0
"FT226",159.027815148744,289.431640625,8196328.61979209,0,0,0,0,0,0,0,0,0,0,0
"FT227",159.076491818303,524.363464355469,4689200.07581847,0,0,0,0,0,0,0,0,0,0,0
"FT228",159.076544354968,642.01171875,3475688.61330401,0,0,0,0,0,0,0,4987313,0,0,0
"FT229",160.096902270606,417.77702331543,243948366.79181,18232567,0,0,0,0,0,0,0,0,0,0
"FT230",160.096920004461,370.680318,24628435.6515424,1749694,0,0,0,0,0,0,0,0,0,0
"FT231",160.096911171815,478.981140136719,18735608.0082081,1468727,0,0,0,0,0,0,0,0,0,0
"FT232",160.133314804226,496.185256958007,4215284.36328735,0,0,0,0,0,0,0,0,0,0,0
"FT233",160.133287373524,430.571014404297,8993008.93709682,0,0,0,0,0,0,0,0,0,0,0
"FT234",161.014311002421,574.426391601562,7459156.26173721,0,0,0,0,0,0,0,0,23889786,0,0
"FT235",161.063143808035,468.990432739257,4395922.1765398,0,0,0,0,0,0,0,0,0,0,0
"FT237",162.112520955115,492.590240478516,135661402.996864,10028301,0,0,0,0,0,0,0,0,0,0
"FT238",162.112531827434,402.470611572266,140301824.821354,10511451,0,0,0,0,0,0,0,0,0,0
"FT239",162.112547019652,316.946685791016,12940419.5550807,0,0,0,0,0,0,0,0,0,0,0
"FT242",164.100898000619,438.885070800781,424640.719040952,0,0,0,0,0,0,0,0,0,0,0
"FT243",165.058159341861,415.091491699219,45951344.9550031,0,0,1985431,0,0,0,0,0,26279345,0,0
"FT246",166.086348736024,473.458953857422,10884941.4133118,952191,0,0,0,0,0,0,0,0,0,0
"FT247",166.086349870239,262.262161254882,17736545.2558707,0,0,0,0,0,0,0,0,0,0,0
"FT248",166.086362173707,417.766448974609,7850797.62642444,0,0,0,0,0,0,0,0,0,0,0
"FT249",166.08630717227,266.616928100586,23770729.5406595,0,0,0,0,0,0,0,0,0,0,0
"FT251",168.069069612435,413.270141601562,3782289.49771306,0,0,0,0,0,0,0,0,0,0,0
"FT252",168.088054957964,253.688507080078,1215296.82877616,0,0,0,0,0,0,0,0,0,0,0
"FT253",168.096191146631,159.463073730469,2209506.73894095,0,0,0,0,0,0,0,0,0,0,0
"FT255",170.068431434509,933.845581054688,10352607.7225628,0,0,0,0,0,0,0,0,0,0,0
"FT256",170.078085838273,198.872665405273,297339.255250174,0,0,0,0,0,0,0,0,0,0,0
"FT257",170.117646684235,396.894836425781,14017505.2973957,0,0,0,0,0,0,0,0,0,0,0
"FT258",170.570113055403,930.918212890625,1527895.97248611,0,0,0,0,0,0,0,0,0,0,0
"FT259",171.07647223652,595.458892822266,1329014.90813392,0,0,0,0,0,0,0,0,0,0,0
"FT260",171.084409203087,193.51823425293,36904536.8583094,2584380,0,0,0,0,0,0,0,26032741,0,0
"FT261",172.071813367195,440.660003662109,750863.560821742,0,0,0,0,0,0,0,0,0,0,0
"FT263",172.090779119852,197.793701171875,931378.833052434,0,0,0,0,0,0,0,0,861405,0,0
"FT264",172.133259362511,115.934005737305,6901471.95999038,0,0,0,0,0,0,0,0,0,0,0
"FT265",173.030764778271,697.388854980469,873593.831803475,0,0,0,0,0,0,0,0,0,0,0
"FT266",173.092194610542,413.382354736328,12059827.4079503,885356,0,0,0,0,0,0,0,0,0,0
"FT267",173.100115608064,188.330421447754,525857.494312757,0,0,0,0,0,0,0,0,0,0,0
"FT268",174.022043816961,271.174072265625,8464567.47209577,0,0,0,0,0,0,0,0,0,0,0
"FT269",174.038745350526,401.696380615234,44290105.7011093,2346356,0,0,0,0,0,0,0,0,0,0
"FT270",174.087383227168,536.6767578125,2891920.51916018,0,0,0,0,0,0,0,0,0,0,0
"FT271",174.136567633512,264.335561480469,2056472.82237816,0,0,0,0,0,0,0,0,0,0,0
"FT273",175.071470703208,637.911743164062,1142800.06950186,0,0,0,0,0,0,0,0,0,0,0
"FT275",175.107786884884,548.482086181641,1212492.33596548,0,0,0,0,0,0,0,0,0,0,0
"FT276",175.119078886491,1002.58193969726,43078102.9497097,2753649,0,0,0,0,0,0,0,0,0,0
"FT277",176.091815562147,575.385070800781,18990022.681366,1353522,0,0,0,0,0,0,0,0,0,0
"FT279",176.111189240857,395.847320556641,1113352.77947314,0,0,0,0,0,0,0,0,0,0,0
"FT280",176.128235982595,380.042373657227,5127702.03313041,0,0,0,0,0,0,0,0,0,0,0
"FT281",176.128230752405,448.343658447266,4241097.95407525,0,0,0,0,0,0,0,0,0,0,0
"FT282",176.128185475978,539.47021484375,20188441.0272596,1639704,0,0,0,0,0,0,0,0,0,0
"FT283",176.13946277885,344.740890502929,4792320.01013674,0,0,0,0,0,0,0,0,0,0,0
"FT284",177.036152422035,401.586669921875,15818431.7035547,0,0,0,0,0,0,0,0,0,0,0
"FT285",177.058218909815,464.359680175781,1859067.25137349,0,0,0,0,0,0,0,0,0,0,0
"FT286",178.107465940709,437.970565795898,4030196.5488153,0,0,0,0,0,0,0,0,0,0,0
"FT287",179.004844667723,331.417114257812,158476802.547982,0,0,0,0,0,0,0,0,0,0,0
"FT288",179.073715496055,495.267883300781,38288527.5863681,2841562,0,1687522,0,0,0,0,0,0,0,0
"FT289",179.073648840123,566.838928222656,102670157.129937,7675300,0,4606016,0,0,0,0,0,0,0,0
"FT290",180.008228420492,331.411743164062,19724225.7954065,0,0,0,0,0,0,0,0,0,0,0
"FT291",180.061817658138,625.425079345703,3145599.25758133,0,0,0,0,0,0,0,0,0,0,0
"FT294",180.101974719421,413.265594482422,23810477.4197722,2501564,0,0,0,0,0,0,0,0,0,0
"FT299",181.102002436719,247.703132629395,8140635.30040118,0,0,0,0,0,0,0,0,0,0,0
"FT302",181.127417582896,448.233169555664,4797014.26253933,0,0,0,0,0,0,0,0,0,0,0
"FT303",181.127470293545,446.223403930664,4540677.01196122,0,0,0,0,0,0,0,0,0,0,0
"FT305",182.032948759435,576.463195800781,143213833.308237,0,0,0,0,0,0,0,0,0,0,0
"FT306",182.067310825353,329.197998046875,5247833.63317497,0,0,0,0,0,0,0,0,0,0,0
"FT307",182.081312154743,492.588897705078,4782087.55136764,0,0,0,0,0,0,0,0,0,0,0
"FT308",182.081244151458,490.959564208984,10290638.1191079,0,0,0,0,0,0,0,0,0,0,0
"FT309",182.117713383861,140.271469116211,15821168.766311,1558811,0,0,0,0,0,0,0,0,0,0
"FT311",184.063986111721,324.234191894531,6751484.39727863,0,0,0,0,0,0,0,0,0,0,0
"FT312",184.073407295872,671.090454101562,4784414.88533021,0,0,0,0,0,0,0,0,0,0,0
"FT313",184.1697490397,115.837677001953,7313157.34668828,0,0,0,0,0,0,0,0,0,0,0
"FT315",185.09220544733,393.881912231445,10176985.0630233,816337,0,0,0,0,0,0,0,0,0,0
"FT316",186.944086227537,1199.10223388672,191178325.698904,0,0,0,0,0,0,0,0,0,0,0
"FT318",188.957737758925,119.971084594727,5362366.73519618,0,0,0,0,0,0,0,0,0,0,0
"FT319",189.098325503159,440.008514404296,927680.272927376,0,0,0,0,0,0,0,0,0,0,0
"FT320",189.123439939786,416.889663696289,2774596.88517859,0,0,0,0,0,0,0,0,0,0,0
"FT321",189.159792339129,845.308715820312,38955118.2661322,0,0,0,0,0,0,0,0,0,0,0
"FT322",190.01268319765,401.332153320312,3239576.60372453,0,0,0,0,0,0,0,0,0,0,0
"FT323",190.957373827417,118.485824584961,4227095.47543005,0,0,0,0,0,0,0,0,0,0,0
"FT324",191.073831452306,425.080688476562,2441247.00224191,0,0,0,0,0,0,0,0,0,0,0
"FT325",191.073817174477,497.066696166993,1981063.31973289,0,0,0,0,0,0,0,0,0,0,0
"FT326",191.073732067033,547.573181152344,1673054.81796601,0,0,0,0,0,0,0,0,0,0,0
"FT327",192.123134705061,273.933807373047,3239734.09069965,0,0,0,0,0,0,0,0,0,0,0
"FT328",192.123065410414,545.72216796875,4570389.04742574,0,0,0,0,0,0,0,0,0,0,0
"FT329",192.159560096668,118.056106567383,226893.223013567,0,0,0,0,0,0,0,0,0,0,0
"FT330",193.053080483798,580.5693359375,44354654.5424363,3235695,0,1894514,0,0,0,0,0,0,0,0
"FT331",193.089549003323,495.003295898438,24418978.1867729,2065996,0,0,0,0,0,0,0,0,0,0
"FT332",193.089392081019,458.169036865234,87052008.3510519,7181364,0,3736125,0,0,0,0,0,0,0,0
"FT334",194.067396835326,204.062820434571,1135373.46863176,0,0,0,0,0,0,0,0,0,0,0
"FT336",194.092733857204,458.230484008789,2192874.02423347,0,0,0,0,0,0,0,0,0,0,0
"FT337",194.886354461745,188.181045532227,2233409.54150187,0,0,0,0,0,0,0,0,0,0,0
"FT339",195.06870317626,548.073089599609,2857621.83388512,0,0,0,0,0,0,0,0,0,0,0
"FT340",195.0764575259,522.574157714844,1869102.92056803,0,0,0,0,0,0,0,0,0,0,0
"FT341",195.122878128387,124.533901214599,9225389.64543404,770685,0,0,0,0,0,0,1497361,0,0,0
"FT342",196.083025787516,243.990104675293,4980031.12092802,0,0,0,0,0,0,0,0,0,0,0
"FT344",196.16975710528,108.851627349854,3447684.31260565,0,0,0,0,0,0,0,0,0,0,0
"FT345",197.096407715459,577.636901855469,654443.33554592,0,0,0,0,0,0,0,0,0,0,0
"FT346",197.122479495048,309.095947265625,615902.882228686,0,0,0,0,0,0,0,0,0,0,0
"FT347",198.124074105443,426.979934692383,2582668.00710197,0,0,0,0,0,0,0,0,0,0,0
"FT348",198.185395332759,112.424285888672,5071125.1265081,0,0,0,0,0,0,0,0,0,0,0
"FT349",198.997061581154,577.296203613281,5823522.95043704,0,0,0,0,0,0,0,0,0,0,0
"FT351",201.025109609422,384.763824462891,1997423.08967252,0,0,0,0,0,0,0,0,0,0,0
"FT352",201.123409674899,555.616546630859,615166.452196924,0,0,0,0,0,0,0,0,0,0,0
"FT354",203.997618988053,790.192108154297,25373806.7632088,0,0,0,0,33940352,0,0,0,0,0,0
"FT355",204.123200002878,336.808227539062,183432971.770357,0,0,0,0,0,0,0,0,0,0,0
"FT356",206.102495067941,586.032165527344,5010769.8767078,0,0,0,0,0,0,0,0,0,0,0
"FT357",206.138851939674,304.558929443359,7998974.5115322,0,0,0,0,0,0,0,0,0,0,0
"FT358",206.13885247343,140.633758544922,62697991.5876425,0,0,0,0,0,0,0,0,0,0,0
"FT359",207.068609063716,447.830383300781,2609180.33421031,0,0,0,0,0,0,0,0,0,0,0
"FT360",209.047940295326,591.077697753906,32368779.5043709,2315814,0,1400874,0,0,0,0,0,0,0,0
"FT361",209.084456349927,397.263732910156,8564138.52933427,0,0,0,0,0,0,0,0,0,0,0
"FT362",210.072267529106,596.792053222656,1560112.70537992,0,0,0,0,0,0,0,0,0,0,0
"FT363",211.056458721109,648.746337890625,1871246.17577028,0,0,0,0,0,0,0,0,0,0,0
"FT364",212.095155943099,524.935607910156,96307592.3945124,7018438,0,0,0,0,0,0,0,0,0,0
"FT365",212.164550601333,119.611488342285,1640994.81591241,0,0,0,0,0,0,0,0,0,0,0
"FT366",214.064552085494,199.447708129883,4695529.12615111,0,0,0,0,0,0,0,0,0,0,0
"FT367",218.138679022034,259.447387695312,88262452.8962154,0,0,0,0,0,0,0,0,0,0,0
"FT368",218.974669822972,792.397491455078,33215604.3727684,0,0,0,0,0,0,0,0,0,0,0
"FT369",221.007675170898,788.311401367188,72754807.2078569,0,0,0,0,0,0,0,0,260479945,0,0
"FT370",223.005112572751,788.436645507812,10367337.1333528,0,0,0,0,0,0,0,0,0,0,0
