"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
394.303468063962,394.302978515625,394.304168701172,101.964336,91.833156,123.258192,1521797.88886931,1521767.38809908,94064.4296875,27,1
155.046711269808,155.046585083008,155.046813964844,105.64068,99.206358,116.695116,513246.517704436,513229.949407384,65188.86328125,33,1
432.280191115341,432.279693603516,432.280609130859,110.25315,101.964336,129.6519,3216005.22988003,3210108.83674735,370282.875,32,1
476.306303264627,476.305633544922,476.306457519531,108.417294,102.880698,116.695116,1391685.66941512,1391672.77595832,206843.875,34,1
388.25389414926,388.253601074219,388.254119873047,112.088772,103.800324,131.624766,5226083.79939501,5226056.90243441,583368.6875,38,1
244.190674297649,244.190505981445,244.190780639648,120.363204,106.584546,133.451628,3060055.13475217,2472337.76739126,342476.46875,30,1
180.174604107055,180.174453735352,180.174865722656,120.363204,113.005008,126.918918,242378.252289105,216860.977904827,35765.6875,29,1
399.911152816297,399.910705566406,399.911407470703,122.34483,114.838128,133.451628,4954852.43540977,4880736.45084393,717168.375,29,1
188.957598207013,188.957534790039,188.95768737793,122.34483,115.752498,129.6519,3417822.15488334,3387738.47783575,530003.4375,59,1
397.91150208748,397.9111328125,397.911651611328,122.34483,115.752498,129.6519,4602875.96466915,4572018.9206509,758335.125,49,1
190.957244829952,190.957138061523,190.957321166992,122.34483,115.752498,133.451628,3856851.69035097,3807748.29743441,510433.75,36,1
212.164422964268,212.164245605469,212.164611816406,127.833018,117.613602,138.021594,787007.632534453,594795.546562399,102546.953125,30,1
182.117560390887,182.11750793457,182.117614746094,138.021594,118.531854,179.354946,31442705.0740371,30437663.0506287,1039390.4375,48,1
114.091583410785,114.091552734375,114.091621398926,126.918918,119.446722,134.364498,13107330.9002982,11552297.1800166,1441918.375,52,1
195.12273869733,195.122680664062,195.122848510742,126.918918,120.363204,134.364498,5570901.87333034,5563391.90044984,943281.4375,70,1
196.126099471186,196.125930786133,196.12646484375,126.918918,121.427586,135.280116,448126.843296583,420110.656013898,81309.8125,29,1
289.106733788082,289.106109619141,289.10693359375,129.6519,125.091558,133.451628,351518.379656556,308818.140621994,111960.6015625,32,1
152.070566162596,152.070541381836,152.070602416992,138.021594,126.005178,160.964694,21384581.8105838,20364036.8735974,979541.8125,30,1
166.046168474611,166.046112060547,166.04621887207,143.535426,127.833018,165.577416,7652330.92474424,6996525.21719269,307553.78125,27,1
168.096072103281,168.095993041992,168.096130371094,161.908566,148.118154,201.436926,6572663.05815998,6562629.04332651,307846.9375,82,1
131.075335263993,131.075286865234,131.075393676758,169.239138,158.220714,195.004842,3333017.166168,3305423.63138476,191604.390625,32,1
150.112473059419,150.112426757812,150.112533569336,203.267286,172.018362,230.794728,13940732.4135109,13121696.1935287,705459.5,70,1
139.05018398895,139.050155639648,139.050216674805,217.943064,185.8059,248.1726,12252610.0255957,11373635.3970147,538257.3125,77,1
153.07378094594,153.073745727539,153.073837280273,206.924886,188.55501,241.825656,28101966.2360979,26210521.0739845,1616329,101,1
383.152961914814,383.152709960938,383.153259277344,217.027692,189.470742,243.644766,3906044.77204826,3794191.9720337,167284.265625,35,1
171.084307157434,171.084259033203,171.084335327148,206.924886,189.470742,263.66751,42002949.2969177,41485456.5271058,2318729.75,80,1
172.087214962949,172.086929321289,172.087631225586,206.01102,193.173228,225.29964,2741247.43809684,2570603.82410118,163041.421875,46,1
121.03983267899,121.03980255127,121.039863586426,217.943064,193.173228,272.83569,18420698.3364025,18159657.8597951,819060.4375,74,1
221.063745745593,221.063400268555,221.063888549805,211.534356,202.350918,228.04362,932449.937424033,922426.937437116,71717.5859375,28,1
181.127273385262,181.127151489258,181.127349853516,227.130378,206.01102,253.636818,5313110.79782268,5272262.38388431,268834.8125,55,1
268.103885300444,268.103790283203,268.103973388672,232.653342,208.757748,268.230972,9377483.44959016,9274076.85607532,413171.84375,61,1
273.08898267253,273.088897705078,273.089080810547,233.569338,209.673618,278.33016,8825556.23629811,8742876.66502592,391310.125,53,1
136.061811114385,136.061752319336,136.061859130859,249.98172,214.280586,286.611606,11568469.0175431,10811267.6856984,535315.8125,83,1
141.113383602617,141.113311767578,141.11344909668,247.265994,227.130378,272.83569,2395739.56238195,2289419.5652201,120897.6171875,41,1
115.086800001674,115.086715698242,115.086868286133,239.065422,228.04362,259.081038,2066639.34144147,1515496.74845503,121047.7421875,26,1
138.05574364057,138.055679321289,138.055801391602,249.98172,228.04362,282.944376,818361927.83721,818361873.851467,42419420,169,1
139.0591004573,139.059036254883,139.059158325195,249.98172,231.73959,280.167648,42825105.320835,42825057.8065139,2313296.75,94,1
139.052824218492,139.052780151367,139.052886962891,249.98172,233.569338,288.438216,10135223.7037722,10112195.8737361,554432.1875,77,1
388.036118940534,388.035949707031,388.036285400391,249.98172,233.569338,288.438216,14411056.9506205,14352471.3948771,769705.4375,56,1
120.032461942113,120.032386779785,120.032531738281,249.98172,234.485454,274.665186,2876784.21402989,2801939.32106485,167049.21875,45,1
449.089030108355,449.088714599609,449.08935546875,249.98172,234.485454,279.24915,4304633.50454568,4259615.4448383,242574.203125,43,1
137.058841787304,137.058776855469,137.058883666992,249.98172,236.320566,276.499296,10806726.657504,10806687.391927,599456,42,1
114.066423694481,114.066368103027,114.066459655762,264.578628,246.363372,287.525472,3300514.45288888,2740244.77366472,159793.703125,33,1
181.101890262583,181.101821899414,181.101959228516,296.717412,275.582052,360.082734,23035653.4846814,23007407.2654509,1037521.875,76,1
134.090243228344,134.09016418457,134.090301513672,296.717412,278.33016,320.610882,5169597.56488045,5146838.72034522,244539.6875,59,1
133.083969897148,133.083908081055,133.084014892578,296.717412,278.33016,332.579676,3408638.34231361,3399409.32819657,148709.546875,49,1
135.096472440023,135.096405029297,135.09651184082,297.632658,279.24915,320.610882,2944165.58937219,2922467.76794547,139780.296875,31,1
137.045848765557,137.045745849609,137.045928955078,324.311226,304.993356,352.789662,1991379.46765016,1923587.36341506,96396.4921875,34,1
90.0918396154648,90.0918121337891,90.0918807983398,331.664934,312.35043,360.082734,6510959.25622745,5521444.09030242,289112.53125,62,1
118.122851121193,118.122817993164,118.122909545898,338.070012,320.610882,374.681892,9793519.85431485,9398639.00578382,485307.84375,77,1
76.0763048828964,76.0762786865234,76.0763244628906,355.526772,327.055464,385.55307,6668234.66012157,6469939.13444758,300359.90625,74,1
184.063767833993,184.063735961914,184.063827514648,361.933104,334.411662,414.033006,80157610.2842083,80157531.5780521,4165855.5,72,1
127.072808369957,127.072776794434,127.072853088379,357.352632,335.327034,402.034458,42302620.7053882,41645646.9121931,2158604.75,89,1
181.011340837264,181.011306762695,181.011383056641,380.109732,335.327034,459.707562,774195280.964235,773957758.944192,34719720,77,1
117.048536497969,117.048515319824,117.048561096191,363.752712,336.239274,425.020794,229378214.846431,229159141.937394,12432302,43,1
104.10733741497,104.107276916504,104.107376098633,361.933104,337.156512,392.811648,3767936.65678559,3220508.38551905,190214.453125,48,1
206.045683785468,206.045547485352,206.045852661133,360.994356,344.516712,381.01197,1899205.1396266,1899169.55675005,123600.203125,30,1
186.059561563779,186.059478759766,186.059661865234,360.994356,344.516712,385.55307,3299043.11539993,3245752.3188961,184656.109375,44,1
116.051559491337,116.051528930664,116.051582336426,363.752712,344.516712,395.52687,5090626.51351161,5077312.12316632,304674.71875,64,1
185.067114929939,185.067016601562,185.06721496582,360.994356,345.431838,377.395746,3546394.18704423,3527073.16740781,228831.171875,34,1
