"feature","mzmed","rtmed","BMIS","BMIS_avg"
"FT103",133.098966354723,343.97248840332,"Cytosine, 13C2, 15N3",5295319.4208452
"FT106",134.044944601907,667.942016601562,"DL-Proline, 2H7",13152249.7928251
"FT107",134.081256648184,528.467620849609,"DL-Histidine, 15N",4801483.55404951
"FT108",134.090349978778,247.215667724609,"DL-Valine, 2H8",1953571.08587124
"FT111",135.030270720748,403.217361450195,"Guanine, 13C, 15N2",2994460.49522031
"FT112",135.047465931711,493.390075683594,"Adenine, 15N2",1349460914.89752
"FT115",136.050689958931,358.453643798829,"L-Methionine, 2H3",4276744.65790936
"FT116",136.061873030384,230.80989074707,"Adenine, 15N2",316750625.210875
"FT117",136.061823770771,178.357864379883,"Adenine, 15N2",70394473.4462334
"FT118",136.06181937828,174.376495361328,"Adenine, 15N2",12269527.235879
"FT120",137.045880945351,289.517395019531,"L-Methionine, 2H3",467966795.191442
"FT121",137.045849859959,356.701171875,"L-Methionine, 2H3",119217211.988014
"FT122",137.045903595994,251.895935058594,"L-Methionine, 2H3",4089804.47734421
"FT123",137.058950453341,230.3603515625,"DL-Valine, 2H8",10135622.85962
"FT124",137.063160029834,561.09521484375,"Arsenobetaine, 13C2",1958676.65215771
"FT127",138.055027125108,379.655944824219,"Glycine betaine, 13C5, 15N",267550687.340289
"FT129",139.030372796242,325.173522949219,"None",4794132.92663229
"FT130",139.050280556479,187.753952026367,"Glycine betaine, 13C5, 15N",11056789.052225
"FT131",139.050196919285,418.549591064453,"Guanine, 13C, 15N2",264377973.999344
"FT132",139.050270776008,188.941162109375,"Adenine, 15N2",8436805.29796481
"FT137",139.14283140809,365.845458984375,"DL-Valine, 2H8",4643771.2497406
"FT138",140.068161010742,345.824096679688,"None",4197383.69594672
"FT140",141.065922369629,343.944427490234,"Glycine betaine, 13C5, 15N",18688521.2200219
"FT141",141.113515855211,228.170433044433,"Glycine betaine, 13C5, 15N",1564421.73423699
"FT143",143.081598486498,420.4228515625,"Glycine betaine, 13C5, 15N",20607935.8686534
"FT144",143.081545617144,474.210388183594,"Glycine betaine, 13C5, 15N",601041932.479736
"FT145",143.081604003906,453.509338378906,"Glycine betaine, 13C5, 15N",22962915.6242929
"FT147",144.101969691465,300.531311035156,"Glycine betaine, 13C5, 15N",87684839.3693157
"FT148",144.101976014885,462.761352539062,"Glycine betaine, 13C5, 15N",42924926.5604694
"FT149",144.101943524173,486.120819091797,"Arsenobetaine, 13C2",3798679.43523738
"FT150",144.982188255051,182.551071166992,"Adenine, 15N2",328413926.636785
"FT154",146.092452167012,592.391043792969,"Glycine betaine, 13C5, 15N",3162172.46702548
"FT155",146.117592278795,498.649734,"Glycine betaine, 13C5, 15N",137056732.77794
