"","feature","mzmed","rtmed","avgarea","formula"
"83","FT216",160.133314514383,497.420272827148,4542569.7807161,"C8H17NO2"
"84","FT217",160.133288737796,431.926788330078,9584754.30092281,"C8H17NO2"
"85","FT219",161.063141347127,469.843078613281,4577891.28882843,"C7H12O2S"
"86","FT221",162.112531827434,403.351165771484,146474201.336473,"C7H15NO3"
"87","FT222",162.112520955115,493.390075683594,153828121.7794,"C7H15NO3"
"88","FT223",162.112546971346,317.887359619141,13809383.9588045,"C7H15NO3"
"89","FT229",166.086345597905,474.067565917969,11595901.7175808,"C9H11NO2"
"90","FT231",166.086357341595,418.087951660156,8163533.42336955,"C9H11NO2"
"91","FT233",168.069069612435,414.487396240234,3889547.33706222,"C5H13NO3S"
"92","FT238",170.117646684235,397.945678710938,14565294.9964506,"C9H15NO2"
"93","FT242",172.133258413408,111.558685302734,7476005.22398917,"C9H17NO2"
"94","FT243",173.092196012598,414.218872070312,12569359.4478115,"C7H12N2O3"
"95","FT244",174.022043816961,270.980346679688,8623234.44502256,"C6H7NO3S"
"96","FT251",175.119075003855,1008.79736328125,44079711.3033033,"C6H14N4O2"
"97","FT254",176.111190159306,396.996505737304,1116621.80933766,"C8H17NOS"
"98","FT255",176.128237619438,381.49040222168,5358678.14139582,"C8H17NO3"
"99","FT256",176.12823043881,449.315765380859,4452097.93210671,"C8H17NO3"
"100","FT263",179.073718195047,495.961944580078,41155634.5695845,"C7H14O3S"
"101","FT264",179.073650148743,569.551086425781,99986918.4419456,"C7H14O3S"
"102","FT272",181.030929393142,466.835861206055,55189538.3365638,"C9H8O2S"
"103","FT282",182.032950548848,577.707061767578,145408875.69358,"C3H8N3O4P"
"104","FT284",182.081285603771,492.419876098633,8499280.96664401,"C9H11NO3"
"105","FT291",185.092204107404,394.946533203125,10590714.9856427,"C8H12N2O3"
"106","FT293",189.098327941979,441.140502929688,950539.636513034,"C6H12N4O3"
"107","FT297",191.073831452306,426.278198242188,2433819.83666234,"C8H14O3S"
"108","FT298",191.073825334788,497.949066162109,1993776.25051658,"C8H14O3S"
"109","FT299",191.07373190494,549.4453125,1436348.48186216,"C8H14O3S"
"110","FT303",193.053070242962,583.304382324219,46383633.0315521,"C7H12O4S"
"111","FT312",195.068744856082,581.895446777344,1175005.65190902,"C7H14O4S"
"112","FT324",206.138851939674,305.230224609375,8147132.25094116,"C9H19NO4"
"113","FT326",207.068609063716,448.739578654297,2608792.76005663,"C8H14O4S"
"114","FT329",210.072238558243,598.287780761719,1431060.68162074,"C5H11N3O6"
"115","FT331",212.095156003629,527.180414019531,84973855.4227855,"C7H17NO4S"
"116","FT332",212.164549763715,117.310409545898,1737416.52642362,"C12H21NO2"
"117","FT353",236.149341467504,409.708801269531,33794226.8402229,"C10H21NO5"
"118","FT355",236.916314475351,183.046516418457,2085434.28284426,"C6H4O2S4"
"119","FT357",239.14901213692,119.239639282227,7173838.10128104,"C10H22O6"
"120","FT362",244.190876270639,111.512718200684,4004804.90638986,"C13H25NO3"
"121","FT378",258.110216625729,579.671997070312,30871955.361886,"C8H20NO6P"
"122","FT389",272.133921055449,523.289743925781,3430151.15992164,"C9H21NO8"
"123","FT394",282.118495216475,603.292358398438,2447095.90315054,"C10H19NO8"
