Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],Comment
374.0198,,,,,Positive,2,6,FT892
376.1424,,,,,Positive,10,13,FT893
377.0532,,,,,Positive,5,9,FT894
377.1331,,,,,Positive,10,13,FT895
377.1458,,,,,Positive,11,14,FT896
377.1458,,,,,Positive,10,13,FT897
383.1531,,,,,Positive,2,6,FT898
385.1104,,,,,Positive,1,4,FT899
385.1287,,,,,Positive,8,12,FT900
386.0423,,,,,Positive,3,7,FT901
388.0364,,,,,Positive,3,7,FT903
388.0365,,,,,Positive,3,7,FT904
388.2542,,,,,Positive,0,4,FT905
391.9582,,,,,Positive,13,17,FT907
395.1422,,,,,Positive,7,10,FT910
399.1445,,,,,Positive,11,14,FT911
401.1247,,,,,Positive,5,8,FT912
404.2067,,,,,Positive,0,4,FT914
411.78,,,,,Positive,2,5,FT915
413.7782,,,,,Positive,2,5,FT916
415.7764,,,,,Positive,2,5,FT917
418.1597,,,,,Positive,11,14,FT918
420.9011,,,,,Positive,13,16,FT919
422.8979,,,,,Positive,13,16,FT920
425.1765,,,,,Positive,8,12,FT921
429.156,,,,,Positive,5,8,FT922
431.1002,,,,,Positive,3,7,FT923
432.2383,,,,,Positive,0,4,FT924
432.2804,,,,,Positive,0,4,FT925
433.0944,,,,,Positive,4,7,FT926
436.4178,,,,,Positive,0,3,FT928
444.1707,,,,,Positive,0,4,FT930
444.8671,,,,,Positive,1,5,FT931
447.0951,,,,,Positive,3,7,FT932
448.8992,,,,,Positive,13,16,FT933
449.0895,,,,,Positive,4,7,FT934
453.4211,,,,,Positive,0,3,FT935
455.1886,,,,,Positive,5,8,FT936
457.112,,,,,Positive,9,13,FT937
460.983,,,,,Positive,13,16,FT938
465.9259,,,,,Positive,13,17,FT939
476.3066,,,,,Positive,0,4,FT943
481.9035,,,,,Positive,13,17,FT947
487.1785,,,,,Positive,7,10,FT948
490.0576,,,,,Positive,5,9,FT949
494.8687,,,,,Positive,13,16,FT950
495.8696,,,,,Positive,13,16,FT951
502.0898,,,,,Positive,2,5,FT953
