Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],Comment
174.022,,,,,Positive,4,8,FT500
174.0387,,,,,Positive,7,10,FT501
174.0874,,,,,Positive,9,13,FT502
174.1365,,,,,Positive,4,8,FT504
175.0393,,,,,Positive,2,5,FT505
175.0714,,,,,Positive,11,14,FT507
175.1077,,,,,Positive,9,13,FT509
175.119,,,,,Positive,16,20,FT510
176.0352,,,,,Positive,4,7,FT511
176.0918,,,,,Positive,9,13,FT512
176.0918,,,,,Positive,7,10,FT513
176.0918,,,,,Positive,6,10,FT514
176.1111,,,,,Positive,7,10,FT516
176.1223,,,,,Positive,16,20,FT517
176.1282,,,,,Positive,6,10,FT518
176.1282,,,,,Positive,7,11,FT519
176.1281,,,,,Positive,9,12,FT520
176.1281,,,,,Positive,8,12,FT521
176.1394,,,,,Positive,6,9,FT522
177.0362,,,,,Positive,7,10,FT523
177.0581,,,,,Positive,8,11,FT524
177.0951,,,,,Positive,9,13,FT525
177.1064,,,,,Positive,11,14,FT526
177.1314,,,,,Positive,6,10,FT528
178.1074,,,,,Positive,7,11,FT529
178.1337,,,,,Positive,9,13,FT530
179.0048,,,,,Positive,6,9,FT531
179.024,,,,,Positive,5,8,FT532
179.0736,,,,,Positive,8,12,FT533
179.0736,,,,,Positive,9,13,FT534
179.0737,,,,,Positive,15,19,FT535
180.0082,,,,,Positive,6,9,FT537
180.0618,,,,,Positive,10,14,FT538
180.073,,,,,Positive,9,13,FT539
180.0866,,,,,Positive,9,13,FT542
180.1019,,,,,Positive,7,10,FT543
181.0261,,,,,Positive,1,4,FT545
181.0694,,,,,Positive,8,12,FT549
181.102,,,,,Positive,4,8,FT550
181.1274,,,,,Positive,7,11,FT554
181.1274,,,,,Positive,6,10,FT555
182.0329,,,,,Positive,9,13,FT557
182.0595,,,,,Positive,8,12,FT558
182.0673,,,,,Positive,5,9,FT559
182.0673,,,,,Positive,6,10,FT560
182.0812,,,,,Positive,8,11,FT561
182.1037,,,,,Positive,5,8,FT562
183.0845,,,,,Positive,8,12,FT564
183.1017,,,,,Positive,1,4,FT565
184.0639,,,,,Positive,5,9,FT568
184.0734,,,,,Positive,11,14,FT569
184.1697,,,,,Positive,0,4,FT570
184.956,,,,,Positive,7,11,FT571
185.0921,,,,,Positive,6,10,FT572
185.1,,,,,Positive,1,4,FT573
186.1125,,,,,Positive,6,10,FT576
186.1125,,,,,Positive,8,11,FT577
186.1125,,,,,Positive,4,8,FT578
186.1125,,,,,Positive,1,4,FT579
186.1601,,,,,Positive,9,13,FT580
187.1078,,,,,Positive,7,11,FT582
188.0376,,,,,Positive,3,7,FT583
188.0707,,,,,Positive,6,10,FT584
188.1281,,,,,Positive,1,5,FT585
189.0758,,,,,Positive,8,12,FT586
189.0983,,,,,Positive,7,11,FT587
189.1234,,,,,Positive,7,11,FT588
189.1233,,,,,Positive,7,12,FT589
189.1234,,,,,Positive,10,14,FT590
189.1598,,,,,Positive,14,17,FT591
190.0127,,,,,Positive,7,10,FT592
190.1074,,,,,Positive,9,13,FT593
190.1438,,,,,Positive,8,11,FT595
190.1438,,,,,Positive,7,11,FT596
190.9573,,,,,Positive,0,5,FT597
191.0737,,,,,Positive,7,10,FT598
191.0737,,,,,Positive,8,12,FT599
191.0737,,,,,Positive,9,13,FT600
192.0689,,,,,Positive,10,13,FT601
192.1231,,,,,Positive,4,8,FT602
192.123,,,,,Positive,9,13,FT603
192.8882,,,,,Positive,2,5,FT604
193.053,,,,,Positive,10,13,FT605
193.0894,,,,,Positive,8,12,FT606
193.1548,,,,,Positive,6,9,FT607
194.0674,,,,,Positive,2,6,FT609
194.0775,,,,,Positive,9,13,FT610
194.1288,,,,,Positive,4,8,FT612
194.8864,,,,,Positive,1,5,FT613
195.0252,,,,,Positive,13,17,FT614
195.0687,,,,,Positive,9,13,FT616
195.0764,,,,,Positive,9,12,FT617
195.1228,,,,,Positive,1,4,FT618
196.083,,,,,Positive,3,7,FT619
196.1332,,,,,Positive,0,4,FT620
196.1697,,,,,Positive,0,4,FT621
197.1146,,,,,Positive,7,10,FT622
197.1224,,,,,Positive,4,7,FT623
198.0105,,,,,Positive,9,13,FT624
198.0398,,,,,Positive,11,15,FT625
198.0795,,,,,Positive,3,7,FT626
198.089,,,,,Positive,8,11,FT627
198.0986,,,,,Positive,5,8,FT628
198.1238,,,,,Positive,7,11,FT629
198.1489,,,,,Positive,6,10,FT630
198.1854,,,,,Positive,0,4,FT631
198.997,,,,,Positive,8,12,FT632
199.1112,,,,,Positive,4,8,FT633
200.1282,,,,,Positive,1,4,FT634
201.025,,,,,Positive,6,10,FT635
201.1234,,,,,Positive,9,13,FT636
202.1802,,,,,Positive,1,4,FT637
203.1391,,,,,Positive,6,10,FT639
203.9976,,,,,Positive,13,17,FT640
204.0787,,,,,Positive,5,8,FT641
204.1231,,,,,Positive,6,9,FT642
204.9946,,,,,Positive,13,17,FT643
205.0895,,,,,Positive,6,10,FT644
205.0972,,,,,Positive,6,10,FT645
205.1265,,,,,Positive,6,9,FT646
206.0673,,,,,Positive,2,6,FT647
206.1024,,,,,Positive,10,13,FT648
206.1024,,,,,Positive,9,12,FT649
206.1388,,,,,Positive,5,9,FT650
206.1388,,,,,Positive,1,5,FT651
206.1388,,,,,Positive,7,10,FT652
207.0686,,,,,Positive,7,11,FT653
207.1704,,,,,Positive,5,8,FT654
208.093,,,,,Positive,7,10,FT655
209.0479,,,,,Positive,10,13,FT656
209.0843,,,,,Positive,7,10,FT657
210.0514,,,,,Positive,10,13,FT658
210.0722,,,,,Positive,10,13,FT659
210.0761,,,,,Positive,9,13,FT660
211.0437,,,,,Positive,10,13,FT661
211.0564,,,,,Positive,11,14,FT662
212.0951,,,,,Positive,9,12,FT663
212.1393,,,,,Positive,9,13,FT664
212.1393,,,,,Positive,5,9,FT665
212.1645,,,,,Positive,0,4,FT667
214.0645,,,,,Positive,2,6,FT668
215.0335,,,,,Positive,3,7,FT669
215.1061,,,,,Positive,4,7,FT670
218.1387,,,,,Positive,10,13,FT671
218.1387,,,,,Positive,4,8,FT672
218.9747,,,,,Positive,13,17,FT673
219.1702,,,,,Positive,5,8,FT674
219.9894,,,,,Positive,19,23,FT675
220.0237,,,,,Positive,13,16,FT676
220.118,,,,,Positive,10,13,FT677
221.0077,,,,,Positive,13,17,FT678
221.0843,,,,,Positive,7,10,FT679
221.1846,,,,,Positive,1,4,FT680
222.1336,,,,,Positive,6,10,FT681
223.0051,,,,,Positive,13,16,FT682
223.0565,,,,,Positive,11,15,FT683
223.0635,,,,,Positive,8,12,FT684
223.0635,,,,,Positive,9,12,FT685
223.0635,,,,,Positive,7,11,FT686
223.0747,,,,,Positive,12,15,FT687
223.0937,,,,,Positive,5,9,FT688
224.0971,,,,,Positive,5,9,FT689
224.9791,,,,,Positive,13,16,FT690
225.0792,,,,,Positive,6,10,FT691
225.0792,,,,,Positive,8,11,FT692
225.9825,,,,,Positive,7,11,FT693
226.1437,,,,,Positive,1,4,FT694
227.1754,,,,,Positive,1,4,FT696
227.1835,,,,,Positive,0,4,FT697
228.08,,,,,Positive,7,10,FT699
228.0978,,,,,Positive,5,8,FT700
